fid,COD_USO,DES_USO,Shape_Leng,Shape_Area,_N,_SIOSE,_COD_SIOSE,_Usos MUCV,_COD_NUEVO,AREA_POLIG,USOS_DEFIN,USOS_GENER,COD_GENERA,COD_PRESIO,NOMBRE_HUM,COD_IHA,USOShum_ha,HUM_ha,BUF_ha
441863,931,"PLAYAS, DUNAS Y ARENALES",15088.388141999999789,61919.681823689490557,79,"PLAYAS, DUNAS Y ARENALES","9312",Dunas y arenales costeros,22,61919.682,"Playas, dunas y arenales",Cobertura vegetal y suelos,5,1,Albufera Nueva,IHA611008,6.191968,0.000000000,6.191968
117612,425,OTROS CULTIVOS HERBACEOS REGADOS,667.654206567999950,629.768412024481336,86,OTROS CULTIVOS HERBACEOS REGADOS,NA,OTROS CULTIVOS HERBACEOS REGADOS,18,629.768,Cultivos herbaceos,Agrario,4,3,Albufera Honda,IHA611007,0.062977,0.000000000,0.062977
115970,423,CULTIVOS FORZADOS BAJO PLASTICO,1717.828760449999891,7989.936583182425238,56,CULTIVOS FORZADOS BAJO PLASTICO,"404",Invernadero de estructura itinerante o temporal,17,7989.937,Invernaderos,Agrario invernaderos,2,5,Albufera Nueva,IHA611008,148.395208,1.148727000,147.246481
400010,917,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,1214.175075160000006,5552.506896156119183,74,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,"917",Matorral disperso con pasto y roca o suelo,20,5552.507,Vegetacion natural,Cobertura vegetal y suelos,5,1,Albufera Honda,IHA611007,2.307198,0.000000000,2.307198
27547,231,LAGUNAS LITORALES,2379.073978209999950,239537.116586066782475,84,Lagunas litorales,NA,Lagunas litorales,12,239537.117,Lagos y lagunas,Zonas humedas,3,1,Albufera Nueva,IHA611008,31.513255,31.511215000,0.002040
132015,439,OTROS CULTIVOS LEÃ‘OSOS REGADOS,1987.490665399999898,134472.224593132094014,7,TEJIDO URBANO,"2000",Ensanche,1,134472.225,Tejido urbano,Urbano e infraestructuras,1,5,Albufera Nueva,IHA611008,13.447222,0.000000000,13.447222
32264,317,RIOS Y CAUCES NAT.:OTRAS FORM. RIPARIAS,7162.269626180000159,12235.235086010303348,46,VEGETACION RIPARIA,"317",Rios y cauces nat: otras formas riparias,11,12235.235,Vegetacion riparia,Zonas humedas,3,1,Albufera Nueva,IHA611008,1.223524,0.000000000,1.223524
341876,911,MATORRAL DENSO,331.228138531000013,5881.165394406765699,72,MATORRAL DENSO,"911",Matorral denso,20,5881.165,Vegetacion natural,Cobertura vegetal y suelos,5,1,Albufera Nueva,IHA611008,30.906069,0.145952000,30.760117
26982,211,MARISMA MAREAL CON VEGETACION,489.167785104000018,12303.166580592369428,34,MARISMA CON VEGETACION,"210",Marisma con vegetacion,7,12303.167,Marisma,Zonas humedas,3,1,Albufera Nueva,IHA611008,25.700681,13.974738000,11.725943
2732,115,URBANIZACIONES RESIDENCIALES,822.010490421999975,11377.484536014193509,8,URBANIZACIONES,"2002",Discontinuo,1,11377.485,Tejido urbano,Urbano e infraestructuras,1,5,Albufera Honda,IHA611007,2.164834,0.000000000,2.164834
27545,231,LAGUNAS LITORALES,7464.884020769999552,1303811.917646102607250,84,Lagunas litorales,NA,Lagunas litorales,12,1303811.918,Lagos y lagunas,Zonas humedas,3,1,Charcones de Punta Entinas,IHA611001,130.381192,127.280156000,3.101036
150581,471,CULTIVOS HERBACEOS Y PASTIZALES,4046.257198610000160,301394.744473040336743,91,CULTIVOS HERBACEOS Y PASTIZALES,NA,CULTIVOS HERBACEOS Y PASTIZALES,19,301394.744,Areas agrarias heterogeneas,Agrario,4,3,Charcones de Punta Entinas,IHA611001,30.139474,0.028287000,30.111187
27470,221,SALINAS TRADICIONALES,22406.618673799999669,4954079.040504438802600,39,SALINAS,"221",Salinas tradicionales,8,4954079.041,Salinas,Zonas humedas,3,1,Charcones de Punta Entinas,IHA611001,495.407904,484.108776000,11.299128
44780,411,CULTIVOS HERBACEOS EN SECANO,1503.189903100000038,82687.087151403189637,85,CULTIVOS HERBACEOS EN SECANO,NA,CULTIVOS HERBACEOS EN SECANO,18,82687.087,Cultivos herbaceos,Agrario,4,2,Charcones de Punta Entinas,IHA611001,8.268709,0.000000000,8.268709
441866,931,"PLAYAS, DUNAS Y ARENALES",40883.113585799997963,474846.657722790667322,79,"PLAYAS, DUNAS Y ARENALES","9312",Dunas y arenales costeros,22,474846.658,"Playas, dunas y arenales",Cobertura vegetal y suelos,5,1,Charcones de Punta Entinas,IHA611001,36.632744,0.000000000,36.632744
116192,423,CULTIVOS FORZADOS BAJO PLASTICO,478017.638985999976285,7792199.801621209830046,56,CULTIVOS FORZADOS BAJO PLASTICO,"404",Invernadero de estructura itinerante o temporal,17,7792199.802,Invernaderos,Agrario invernaderos,2,5,Charcones de Punta Entinas,IHA611001,520.001916,5.272618000,514.729298
27180,215,MARISMA NO MAREAL CON VEGETACION,4462.245274820000304,103458.192183951628977,36,MARISMA CON VEGETACION,"2151",Marisma no mareal con vegetacion,7,103458.192,Marisma,Zonas humedas,3,1,Charcones de Punta Entinas,IHA611001,98.666281,84.277573000,14.388708
442611,932,ROQUEDOS Y SUELO DESNUDO,4644.861867130000064,119819.923417232930660,80,ROQUEDOS Y SUELO DESNUDO,"945",Suelo desnudo,23,119819.923,Areas con fuertes procesos erosivos,Cobertura vegetal y suelos,5,1,Charcones de Punta Entinas,IHA611001,11.981992,0.000000000,11.981992
341709,911,MATORRAL DENSO,3073.985592259999521,113820.425910829872009,72,MATORRAL DENSO,"911",Matorral denso,20,113820.426,Vegetacion natural,Cobertura vegetal y suelos,5,1,Charcones de Punta Entinas,IHA611001,487.861921,68.540421000,419.321500
24109,155,ZONAS EN CONSTRUCCION,6035.693258209999840,446946.402793390676379,83,ZONAS EN CONSTRUCCION,NA,Zonas en construccion,24,446946.403,Zonas en construccion,Urbano e infraestructuras,1,4,Laguna de la Gravera,IHA611002,44.694640,0.000000000,44.694640
364609,915,MATORRAL DISPERSO CON PASTIZAL,1460.396519050000052,47788.834107086411677,73,MATORRAL DISPERSO CON PASTIZAL,"915",Matorral disperso con pastizal,20,47788.834,Vegetacion natural,Cobertura vegetal y suelos,5,1,Laguna de la Gravera,IHA611002,263.713449,25.603621000,238.109828
22830,151,ZONAS MINERAS,2879.825313939999887,161855.051061344798654,24,ZONAS MINERAS,"2007",Zona de extraccion o vertido,5,161855.051,"Zonas mineras, escombreras o de vertido",Urbano e infraestructuras,1,5,Laguna de la Gravera,IHA611002,16.185505,0.100844000,16.084661
32094,317,RIOS Y CAUCES NAT.:OTRAS FORM. RIPARIAS,4501.022942929999772,191724.310204801033251,46,VEGETACION RIPARIA,"317",Rios y cauces nat: otras formas riparias,11,191724.310,Vegetacion riparia,Zonas humedas,3,1,Salinas de Cerrillos,IHA611004,19.172431,18.314680000,0.857751
27546,231,LAGUNAS LITORALES,2541.889687790000153,201896.644487642683089,84,Lagunas litorales,NA,Lagunas litorales,12,201896.644,Lagos y lagunas,Zonas humedas,3,1,Salinas de Cerrillos,IHA611004,20.189664,0.000000000,20.189664
278260,725,MATORRAL DISP. ARBOLADO: CONIFERAS. DISPERSO,1898.946386480000001,139149.611829824745655,65,MATORRAL DISP. ARBOLADO: CONIFERAS. DISPERSO,"725",Matorral disperso arbolado: coniferas. disperso,20,139149.612,Vegetacion natural,Cobertura vegetal y suelos,5,1,Salinas de Cerrillos,IHA611004,93.542524,38.498548000,55.043976
441866,931,"PLAYAS, DUNAS Y ARENALES",40883.113585799997963,474846.657722790667322,79,"PLAYAS, DUNAS Y ARENALES","9312",Dunas y arenales costeros,22,474846.658,"Playas, dunas y arenales",Cobertura vegetal y suelos,5,1,Salinas de Cerrillos,IHA611004,10.851922,0.000000000,10.851922
22822,151,ZONAS MINERAS,1354.494740529999945,68004.648232488660142,24,ZONAS MINERAS,"2007",Zona de extraccion o vertido,5,68004.648,"Zonas mineras, escombreras o de vertido",Urbano e infraestructuras,1,5,Salinas de Cerrillos,IHA611004,6.800465,0.024158000,6.776307
218,111,TEJIDO URBANO,2336.338637289999951,20018.130530571561394,13,ZONAS INDUSTRIALES Y COMERCIALES,"125",Complejo comercial y/o de ocio,2,20018.131,Zonas industriales y comerciales,Urbano e infraestructuras,1,5,Salinas de Cerrillos,IHA611004,2.001813,0.000000000,2.001813
150592,471,CULTIVOS HERBACEOS Y PASTIZALES,3056.844843029999993,228658.271994644805091,91,CULTIVOS HERBACEOS Y PASTIZALES,NA,CULTIVOS HERBACEOS Y PASTIZALES,19,228658.272,Areas agrarias heterogeneas,Agrario,4,3,Salinas de Cerrillos,IHA611004,25.405568,22.392257000,3.013311
116192,423,CULTIVOS FORZADOS BAJO PLASTICO,478017.638985999976285,7792199.801621209830046,56,CULTIVOS FORZADOS BAJO PLASTICO,"404",Invernadero de estructura itinerante o temporal,17,7792199.802,Invernaderos,Agrario invernaderos,2,5,Salinas de Cerrillos,IHA611004,2.708819,0.264344000,2.444475
44956,411,CULTIVOS HERBACEOS EN SECANO,575.675500212999964,1495.899908287450671,85,CULTIVOS HERBACEOS EN SECANO,NA,CULTIVOS HERBACEOS EN SECANO,18,1495.900,Cultivos herbaceos,Agrario,4,3,Salinas de Cerrillos,IHA611004,11.815967,0.013095000,11.802872
118089,425,OTROS CULTIVOS HERBACEOS REGADOS,584.103037133000043,20113.832725726068020,86,OTROS CULTIVOS HERBACEOS REGADOS,NA,OTROS CULTIVOS HERBACEOS REGADOS,18,20113.833,Cultivos herbaceos,Agrario,4,3,Rambla Morales,IHA611003,25.666801,0.000000000,25.666801
441883,931,"PLAYAS, DUNAS Y ARENALES",10465.629897400000118,379932.030530915013514,79,"PLAYAS, DUNAS Y ARENALES","9312",Dunas y arenales costeros,22,379932.031,"Playas, dunas y arenales",Cobertura vegetal y suelos,5,1,Rambla Morales,IHA611003,59.849967,1.283545000,58.566422
365914,915,MATORRAL DISPERSO CON PASTIZAL,1596.756012800000008,121063.332796711474657,73,MATORRAL DISPERSO CON PASTIZAL,"915",Matorral disperso con pastizal,20,121063.333,Vegetacion natural,Cobertura vegetal y suelos,5,1,Rambla Morales,IHA611003,79.665517,0.286135000,79.379382
32439,317,RIOS Y CAUCES NAT.:OTRAS FORM. RIPARIAS,4678.578275290000420,179166.538312482880428,46,VEGETACION RIPARIA,"317",Rios y cauces nat: otras formas riparias,11,179166.538,Vegetacion riparia,Zonas humedas,3,1,Rambla Morales,IHA611003,17.916654,9.620773000,8.295881
2782,115,URBANIZACIONES RESIDENCIALES,1136.036688969999886,8098.421966316178441,8,URBANIZACIONES,"2002",Discontinuo,1,8098.422,Tejido urbano,Urbano e infraestructuras,1,5,Salinas de Cabo de Gata,IHA611009,4.244170,0.000000000,4.244170
27471,221,SALINAS TRADICIONALES,840.007388173999971,23840.975209700292908,39,SALINAS,"221",Salinas tradicionales,8,23840.975,Salinas,Zonas humedas,3,1,Salinas de Cabo de Gata,IHA611009,253.485249,208.075004000,45.410245
340,111,TEJIDO URBANO,1305.463035929999933,30318.185881122946739,13,ZONAS INDUSTRIALES Y COMERCIALES,"125",Complejo comercial y/o de ocio,2,30318.186,Zonas industriales y comerciales,Urbano e infraestructuras,1,5,Salinas de Cabo de Gata,IHA611009,6.843431,0.000000000,6.843431
24240,155,ZONAS EN CONSTRUCCION,4615.914449089999835,180016.777032902260544,83,ZONAS EN CONSTRUCCION,NA,Zonas en construccion,24,180016.777,Zonas en construccion,Urbano e infraestructuras,1,4,Salinas de Cabo de Gata,IHA611009,18.001678,0.000000000,18.001678
441887,931,"PLAYAS, DUNAS Y ARENALES",45766.064142900002480,690602.282841924577951,79,"PLAYAS, DUNAS Y ARENALES","9312",Dunas y arenales costeros,22,690602.283,"Playas, dunas y arenales",Cobertura vegetal y suelos,5,1,Salinas de Cabo de Gata,IHA611009,47.203465,4.323383000,42.880082
400315,917,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,22901.584828800001560,2428800.495870334096253,74,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,"917",Matorral disperso con pasto y roca o suelo,20,2428800.496,Vegetacion natural,Cobertura vegetal y suelos,5,1,Salinas de Cabo de Gata,IHA611009,423.666614,186.688426000,236.978188
118203,425,OTROS CULTIVOS HERBACEOS REGADOS,51163.799517100000230,1586219.561011064564809,86,OTROS CULTIVOS HERBACEOS REGADOS,NA,OTROS CULTIVOS HERBACEOS REGADOS,18,1586219.561,Cultivos herbaceos,Agrario,4,3,Salinas de Cabo de Gata,IHA611009,148.254556,1.078465000,147.176091
134119,441,CULTIVOS HERBACEOS Y LEÃ‘OSOS EN SECANO,3677.068277809999927,1953.707286849617958,88,CULTIVOS HERBACEOS Y LEÑOSOS EN SECANO,NA,CULTIVOS HERBACEOS Y LEÑOSOS EN SECANO,19,1953.707,Areas agrarias heterogeneas,Agrario,4,3,Salinas de Cabo de Gata,IHA611009,14.795320,0.202745000,14.592575
6115,117,URBANIZACIONES AGRICOLA / RESIDENCIALES,2527.969652889999907,137615.271654102951288,9,URBANIZACIONES AGRICOLA / RESIDENCIALES,"117",Agricola residencial,1,137615.272,Tejido urbano,Urbano e infraestructuras,1,5,Canada de las Norias,IHA611005,15.559714,0.000000000,15.559714
116192,423,CULTIVOS FORZADOS BAJO PLASTICO,478017.638985999976285,7792199.801621209830046,56,CULTIVOS FORZADOS BAJO PLASTICO,"404",Invernadero de estructura itinerante o temporal,17,7792199.802,Invernaderos,Agrario invernaderos,2,5,Canada de las Norias,IHA611005,282.555659,10.006968000,272.548691
