fid,pct_arbo,pct_mato,pct_herb,pct_suelo,pct_querc,pct_conif,pct_eu,pct_ofro,pct_culth,pct_cultl,pct_citri,pct_olivar,pct_vitis,pct_ofrut,pct_agua,pct_edif,pct_vial,pct_zverde,pct_zexver,os_cod_n4,os_des_n4,os_cod_n3,os_des_n3,os_cod_n2,os_des_n2,os_cod_n1,os_des_n1,cd_prov,Humedal,_N,_SIOSE,_COD_95,_Usos MUCV,_COD_NUEVO,USOS_CHERB,COD_CHERB,USOS_DEFIN,USOS_GENER,COD_GENERA,COD_PRESIO,NOMBRE_HUM,COD_IHA,USOShum_ha,HUM_ha,BUF_ha
964867,0,30,0,0,0,0,0,0,0,0,0,0,0,0,10,15,45,0,0,113,AgrÃ­cola/ganadero,113,"Instalaciones agrÃ­cola, ganadera",12,Industrial,1,Artificial,4,IHA611007,22,OTRAS INFRAESTRUCTURAS TECNICAS,"141",Agricola/ganadero,19,,,Areas agrarias heterogeneas,Agrario,4,3,Albufera Nueva,IHA611008,0.395934,0.000000,0.395934
957570,0,0,95,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,332,Lagos y lagunas,3021,Otras zonas hÃºmedas naturales,51,Zonas hÃºmedas,5,Zonas hÃºmedas,4,IHA611008,49,LAGUNAS CONTINENTALES,"331",Lagos y lagunas,12,,,Lagos y lagunas,Zonas humedas,3,1,Albufera Nueva,IHA611008,37.075299,34.773864,2.301435
955983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,182,VÃ­a de comunicaciÃ³n no asfaltada,3005,Redes viarias y ferroviarias,15,Infraestructuras de transporte,1,Artificial,4,IHA611007,16,INFRAESTRUCTURAS DE COMUNICACIONES,"131",Via de comunicacion no asfaltada,3,,,Infraestructuras de comunicaciones,Urbano e infraestructuras,1,5,Albufera Honda,IHA611007,0.456653,0.000000,0.456653
1193346,0,10,80,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,921,Pastizal continuo,35,Pastizal,35,Pastizal,4,Forestal,4,IHA611007,75,PASTIZAL CONTINUO,"921",Pastizal continuo,20,,,Vegetacion natural,Cobertura vegetal y suelos,5,1,Albufera Honda,IHA611007,2.915832,0.000000,2.915832
976416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,345,Balsa de riego o ganadera,3020,Zonas hÃºmedas artificiales,51,Zonas hÃºmedas,5,Zonas hÃºmedas,4,IHA611007,51,BALSAS DE RIEGO Y GANADERAS,"345",Balsa de riego o ganadera,13,,,Masas de agua artificial,Zonas humedas,3,4,Albufera Nueva,IHA611008,0.240395,0.000723,0.239672
1303034,0,10,20,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,RÃ­os y cauces nat: otras formas riparias,3022,RÃ­os y cauces con y sin vegetaciÃ³n asociada,51,Zonas hÃºmedas,5,Zonas hÃºmedas,4,IHA611007,46,VEGETACION RIPARIA,"317",Rios y cauces nat: otras formas riparias,11,,,Vegetacion riparia,Zonas humedas,3,1,Albufera Honda,IHA611007,0.559021,0.000000,0.559021
1200577,0,0,75,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,925,"Pastizal con claros (roca, suelo)",35,Pastizal,35,Pastizal,4,Forestal,4,IHA611007,76,"PASTIZAL CON CLAROS (ROCA, SUELO)","925","Pastizal con claros (roca, suelo)",20,,,Vegetacion natural,Cobertura vegetal y suelos,5,1,Albufera Nueva,IHA611008,15.812209,0.002798,15.809411
954055,0,55,15,0,0,0,0,0,0,30,0,0,0,30,0,0,0,0,0,997,Otros cultivos leÃ±osos,3011,Frutales no cÃ­tricos,23,Cultivos leÃ±osos,2,AgrÃ­cola,4,IHA611007,58,OTROS CULTIVOS LEÑOSOS EN REGADIO,"997",Otros cultivos leñosos,15,,,Leñoso regadio,Agrario,4,3,Albufera Honda,IHA611007,0.290710,0.000000,0.290710
973039,0,0,80,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,VegetaciÃ³n lagunar,3021,Otras zonas hÃºmedas naturales,51,Zonas hÃºmedas,5,Zonas hÃºmedas,4,IHA611007,44,VEGETACION RIPARIA,"331",Vegetacion lagunar,11,,,Vegetacion riparia,Zonas humedas,3,1,Albufera Nueva,IHA611008,20.984160,11.796169,9.187991
957774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,101,Casco,11,Urbano mixto,11,Urbano mixto,1,Artificial,4,IHA611007,2,TEJIDO URBANO,"111",Casco,1,,,Tejido urbano,Urbano e infraestructuras,1,5,Albufera Honda,IHA611007,1.083225,0.000000,1.083225
967898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,10,0,122,Comercial y oficinas,3003,"Servicios, comercial y oficinas",11,Urbano mixto,1,Artificial,4,IHA611007,12,ZONAS INDUSTRIALES Y COMERCIALES,"121",Comercial y oficinas,2,,,Zonas industriales y comerciales,Urbano e infraestructuras,1,5,Albufera Honda,IHA611007,1.712292,0.000000,1.712292
918465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,101,Casco,11,Urbano mixto,11,Urbano mixto,1,Artificial,4,IHA611007,2,TEJIDO URBANO,"111",Casco,1,,,Tejido urbano,Urbano e infraestructuras,1,5,Albufera Nueva,IHA611008,0.002147,0.000000,0.002147
1287737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,131,Red viaria,3005,Redes viarias y ferroviarias,15,Infraestructuras de transporte,1,Artificial,4,IHA611007,15,INFRAESTRUCTURAS DE COMUNICACIONES,"131",Red viaria,3,,,Infraestructuras de comunicaciones,Urbano e infraestructuras,1,5,Albufera Nueva,IHA611008,13.957025,0.063557,13.893468
990494,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,403,Invernadero de estructura permanente,22,Invernaderos,22,Invernaderos,2,AgrÃ­cola,4,IHA611008,55,CULTIVOS FORZADOS BAJO PLASTICO,"423",Invernadero de estructura permanente,17,,,Invernaderos,Agrario invernaderos,2,5,Albufera Nueva,IHA611008,115.899998,0.098710,115.801288
1224874,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945,Suelo desnudo,945,Suelo desnudo,47,Zonas sin vegetaciÃ³n,4,Forestal,4,IHA611008,80,ROQUEDOS Y SUELO DESNUDO,"932",Suelo desnudo,23,,,Areas con fuertes procesos erosivos,Cobertura vegetal y suelos,5,1,Albufera Nueva,IHA611008,1.724088,0.042953,1.681135
990641,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,403,Invernadero de estructura permanente,22,Invernaderos,22,Invernaderos,2,AgrÃ­cola,4,IHA611007,55,CULTIVOS FORZADOS BAJO PLASTICO,"423",Invernadero de estructura permanente,17,,,Invernaderos,Agrario invernaderos,2,5,Albufera Honda,IHA611007,24.239210,0.000000,24.239210
1227164,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945,Suelo desnudo,945,Suelo desnudo,47,Zonas sin vegetaciÃ³n,4,Forestal,4,IHA611007,80,ROQUEDOS Y SUELO DESNUDO,"932",Suelo desnudo,23,,,Areas con fuertes procesos erosivos,Cobertura vegetal y suelos,5,1,Albufera Honda,IHA611007,0.044515,0.000000,0.044515
1275767,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,2005,Zona verde ajardinadaÂ ,3001,Zonas verdes urbanas,11,Urbano mixto,1,Artificial,4,IHA611007,33,ZONAS VERDES Y ESPACIOS DE OCIO,"191",Zona verde ajardinada ,6,,,Zonas verdes y espacios de ocio,Urbano e infraestructuras,1,3,Albufera Honda,IHA611007,1.065458,0.000000,1.065458
1284347,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9311,Playas,3018,"Playas, dunas, acantilados y arenales",47,Zonas sin vegetaciÃ³n,4,Forestal,4,IHA611008,78,"PLAYAS, DUNAS Y ARENALES","931",Playas,22,,,"Playas, dunas y arenales",Cobertura vegetal y suelos,5,1,Albufera Nueva,IHA611008,18.188042,0.001456,18.186586
1037034,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,431,CÃ­tricos,431,Frutales cÃ­tricos,23,Cultivos leÃ±osos,2,AgrÃ­cola,4,IHA611008,57,CITRICOS,"431",Citricos,15,,,Leñoso regadio,Agrario,4,3,Albufera Nueva,IHA611008,4.884310,0.000000,4.884310
956651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sin asignaciÃ³n,0,Sin asignaciÃ³n,0,Sin asignaciÃ³n,0,Sin asignaciÃ³n,4,IHA611008,1,SIN ASIGNACIoN,"0",Sin asignacion,0,,,Sin asignacion,Urbano e infraestructuras,1,5,Albufera Nueva,IHA611008,0.342128,0.000000,0.342128
971609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,168,Industria aislada,3002,Zonas industriales,12,Industrial,1,Artificial,4,IHA611008,14,ZONAS INDUSTRIALES Y COMERCIALES,"121",Industria aislada,2,,,Zonas industriales y comerciales,Urbano e infraestructuras,1,5,Albufera Nueva,IHA611008,0.931469,0.000000,0.931469
1276990,0,0,0,30,0,0,0,0,0,0,0,0,0,0,50,20,0,0,0,2008,LÃ¡mina de agua artificial,3020,Zonas hÃºmedas artificiales,51,Zonas hÃºmedas,5,Zonas hÃºmedas,4,IHA611008,48,CANALES ARTIFICIALES,"321",Lamina de agua artificial,10,,,"Rios, cauces o ramblas",Zonas humedas,3,1,Albufera Nueva,IHA611008,0.365927,0.000407,0.365520
977305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,345,Balsa de riego o ganadera,3020,Zonas hÃºmedas artificiales,51,Zonas hÃºmedas,5,Zonas hÃºmedas,4,IHA611007,51,BALSAS DE RIEGO Y GANADERAS,"345",Balsa de riego o ganadera,13,,,Masas de agua artificial,Zonas humedas,3,4,Albufera Honda,IHA611007,0.688519,0.000000,0.688519
1241432,0,20,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960,Ramblas,3022,RÃ­os y cauces con y sin vegetaciÃ³n asociada,51,Zonas hÃºmedas,5,Zonas hÃºmedas,4,IHA611007,41,RIOS Y CAUCES,NA,Ramblas,10,,,"Rios, cauces o ramblas",Zonas humedas,3,1,Albufera Honda,IHA611007,0.262309,0.000000,0.262309
974073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,345,Balsa de riego o ganadera,3020,Zonas hÃºmedas artificiales,51,Zonas hÃºmedas,5,Zonas hÃºmedas,4,IHA611001,51,BALSAS DE RIEGO Y GANADERAS,"345",Balsa de riego o ganadera,13,,,Masas de agua artificial,Zonas humedas,3,4,Charcones de Punta Entinas,IHA611001,0.249270,0.000000,0.249270
918360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sin asignaciÃ³n,0,Sin asignaciÃ³n,0,Sin asignaciÃ³n,0,Sin asignaciÃ³n,4,IHA611001,1,SIN ASIGNACIoN,"0",Sin asignacion,0,,,Sin asignacion,Urbano e infraestructuras,1,5,Charcones de Punta Entinas,IHA611001,0.045581,0.000000,0.045581
973176,0,0,20,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,Marisma con vegetaciÃ³n,3021,Otras zonas hÃºmedas naturales,51,Zonas hÃºmedas,5,Zonas hÃºmedas,4,IHA611004,34,MARISMA CON VEGETACION,"211",Marisma con vegetacion,7,,,Marisma,Zonas humedas,3,1,Salinas de Cerrillos,IHA611004,10.209385,4.101451,6.107934
990043,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,403,Invernadero de estructura permanente,22,Invernaderos,22,Invernaderos,2,AgrÃ­cola,4,IHA611004,55,CULTIVOS FORZADOS BAJO PLASTICO,"423",Invernadero de estructura permanente,17,,,Invernaderos,Agrario invernaderos,2,5,Salinas de Cerrillos,IHA611004,373.960860,0.299952,373.660908
1287676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,131,Red viaria,3005,Redes viarias y ferroviarias,15,Infraestructuras de transporte,1,Artificial,4,IHA611004,15,INFRAESTRUCTURAS DE COMUNICACIONES,"131",Red viaria,3,,,Infraestructuras de comunicaciones,Urbano e infraestructuras,1,5,Charcones de Punta Entinas,IHA611001,21.635335,1.508483,20.126852
974075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,345,Balsa de riego o ganadera,3020,Zonas hÃºmedas artificiales,51,Zonas hÃºmedas,5,Zonas hÃºmedas,4,IHA611004,51,BALSAS DE RIEGO Y GANADERAS,"345",Balsa de riego o ganadera,13,,,Masas de agua artificial,Zonas humedas,3,4,Salinas de Cerrillos,IHA611004,2.180691,0.000000,2.180691
957626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,101,Casco,11,Urbano mixto,11,Urbano mixto,1,Artificial,4,IHA611004,2,TEJIDO URBANO,"111",Casco,1,,,Tejido urbano,Urbano e infraestructuras,1,5,Charcones de Punta Entinas,IHA611001,0.188188,0.000000,0.188188
1280074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,9312,Dunas y arenales costeros,3018,"Playas, dunas, acantilados y arenales",47,Zonas sin vegetaciÃ³n,4,Forestal,4,IHA611004,79,"PLAYAS, DUNAS Y ARENALES","931",Dunas y arenales costeros,22,,,"Playas, dunas y arenales",Cobertura vegetal y suelos,5,1,Salinas de Cerrillos,IHA611004,30.537367,0.000000,30.537367
973683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,291,Mares y ocÃ©anos,3021,Otras zonas hÃºmedas naturales,51,Zonas hÃºmedas,5,Zonas hÃºmedas,4,IHA611001,40,MARES Y OCEANOS,"291",Mares y oceanos,9,,,Mares y oceanos,Zonas humedas,3,1,Charcones de Punta Entinas,IHA611001,0.570083,0.000000,0.570083
973778,0,35,15,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,Lagos y lagunas,3021,Otras zonas hÃºmedas naturales,51,Zonas hÃºmedas,5,Zonas hÃºmedas,4,IHA611004,49,LAGUNAS CONTINENTALES,"331",Lagos y lagunas,12,,,Lagos y lagunas,Zonas humedas,3,1,Salinas de Cerrillos,IHA611004,7.625296,5.704285,1.921011
973614,0,10,10,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,Salinas tradicionales,3020,Zonas hÃºmedas artificiales,51,Zonas hÃºmedas,5,Zonas hÃºmedas,4,IHA611004,39,SALINAS,"221",Salinas tradicionales,8,,,Salinas,Zonas humedas,3,1,Charcones de Punta Entinas,IHA611001,0.793217,0.780997,0.012220
973144,0,90,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,VegetaciÃ³n lagunar,3021,Otras zonas hÃºmedas naturales,51,Zonas hÃºmedas,5,Zonas hÃºmedas,4,IHA611001,44,VEGETACION RIPARIA,"331",Vegetacion lagunar,11,,,Vegetacion riparia,Zonas humedas,3,1,Charcones de Punta Entinas,IHA611001,74.280868,40.297062,33.983806
970307,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,153,Escombreras y vertederos,3008,Infraestructuras de residuos,16,Infraestructuras tÃ©cnicas,1,Artificial,4,IHA611001,25,ESCOMBRERAS Y VERTEDEROS,"153",Escombreras y vertederos,5,,,"Zonas mineras, escombreras o de vertido",Urbano e infraestructuras,1,5,Charcones de Punta Entinas,IHA611001,6.120847,0.000000,6.120847
970244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,168,Industria aislada,3002,Zonas industriales,12,Industrial,1,Artificial,4,IHA611001,14,ZONAS INDUSTRIALES Y COMERCIALES,"121",Industria aislada,2,,,Zonas industriales y comerciales,Urbano e infraestructuras,1,5,Charcones de Punta Entinas,IHA611001,0.087128,0.000000,0.087128
1069532,15,55,25,5,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,625,Matorral denso arbolado: conÃ­feras dispersas,3014,Matorrales con arbolado puro,45,Matorrales con arbolado,4,Forestal,4,IHA611004,63,MATORRAL DENSO ARBOLADO: CONIFERAS DISPERSAS,"625",Matorral denso arbolado: coniferas dispersas,20,,,Vegetacion natural,Cobertura vegetal y suelos,5,1,Salinas de Cerrillos,IHA611004,14.005036,1.656498,12.348538
1234615,0,0,20,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945,Suelo desnudo,945,Suelo desnudo,47,Zonas sin vegetaciÃ³n,4,Forestal,4,IHA611001,80,ROQUEDOS Y SUELO DESNUDO,"932",Suelo desnudo,23,,,Areas con fuertes procesos erosivos,Cobertura vegetal y suelos,5,1,Charcones de Punta Entinas,IHA611001,24.312531,0.173093,24.139438
1285498,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9312,Dunas y arenales costeros,3018,"Playas, dunas, acantilados y arenales",47,Zonas sin vegetaciÃ³n,4,Forestal,4,IHA611004,79,"PLAYAS, DUNAS Y ARENALES","931",Dunas y arenales costeros,22,,,"Playas, dunas y arenales",Cobertura vegetal y suelos,5,1,Charcones de Punta Entinas,IHA611001,267.319382,6.965319,260.354063
973697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,332,Lagos y lagunas,3021,Otras zonas hÃºmedas naturales,51,Zonas hÃºmedas,5,Zonas hÃºmedas,4,IHA611001,49,LAGUNAS CONTINENTALES,"331",Lagos y lagunas,12,,,Lagos y lagunas,Zonas humedas,3,1,Charcones de Punta Entinas,IHA611001,162.911960,145.973162,16.938798
973218,0,10,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,Marisma con vegetaciÃ³n,3021,Otras zonas hÃºmedas naturales,51,Zonas hÃºmedas,5,Zonas hÃºmedas,4,IHA611001,34,MARISMA CON VEGETACION,"211",Marisma con vegetacion,7,,,Marisma,Zonas humedas,3,1,Charcones de Punta Entinas,IHA611001,10.874728,8.256946,2.617782
990040,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,403,Invernadero de estructura permanente,22,Invernaderos,22,Invernaderos,2,AgrÃ­cola,4,IHA611001,55,CULTIVOS FORZADOS BAJO PLASTICO,"423",Invernadero de estructura permanente,17,,,Invernaderos,Agrario invernaderos,2,5,Charcones de Punta Entinas,IHA611001,119.099478,0.000000,119.099478
1098198,10,10,80,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,840,Pastizal arbolado: otras frondosas,3016,Pastizales con arbolado puro,46,Pastizales con arbolado,4,Forestal,4,IHA611001,71,PASTIZAL ARBOLADO: OTRAS FRONDOSAS,"840",Pastizal arbolado: otras frondosas,20,,,Vegetacion natural,Cobertura vegetal y suelos,5,1,Charcones de Punta Entinas,IHA611001,111.207170,9.999050,101.208120
973301,0,35,15,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,Marisma con vegetaciÃ³n,3021,Otras zonas hÃºmedas naturales,51,Zonas hÃºmedas,5,Zonas hÃºmedas,4,IHA611004,34,MARISMA CON VEGETACION,"211",Marisma con vegetacion,7,,,Marisma,Zonas humedas,3,1,Laguna de la Gravera,IHA611002,9.060193,3.668303,5.391890
1291685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,182,VÃ­a de comunicaciÃ³n no asfaltada,3005,Redes viarias y ferroviarias,15,Infraestructuras de transporte,1,Artificial,4,IHA611004,16,INFRAESTRUCTURAS DE COMUNICACIONES,"131",Via de comunicacion no asfaltada,3,,,Infraestructuras de comunicaciones,Urbano e infraestructuras,1,5,Laguna de la Gravera,IHA611002,12.580485,1.528838,11.051647
1161335,0,35,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,917,Matorral disperso con pasto y roca o suelo,41,Matorral,41,Matorral,4,Forestal,4,IHA611004,74,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,"917",Matorral disperso con pasto y roca o suelo,20,,,Vegetacion natural,Cobertura vegetal y suelos,5,1,Laguna de la Gravera,IHA611002,45.594117,0.026900,45.567217
973668,0,35,20,40,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,221,Salinas tradicionales,3020,Zonas hÃºmedas artificiales,51,Zonas hÃºmedas,5,Zonas hÃºmedas,4,IHA611004,39,SALINAS,"221",Salinas tradicionales,8,,,Salinas,Zonas humedas,3,1,Laguna de la Gravera,IHA611002,193.498474,189.491001,4.007473
1270279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,95,0,0,2000,Ensanche,11,Urbano mixto,11,Urbano mixto,1,Artificial,4,IHA611004,7,TEJIDO URBANO,"439",Ensanche,1,,,Tejido urbano,Urbano e infraestructuras,1,5,Laguna de la Gravera,IHA611002,26.087968,0.330466,25.757502
973713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,332,Lagos y lagunas,3021,Otras zonas hÃºmedas naturales,51,Zonas hÃºmedas,5,Zonas hÃºmedas,4,IHA611004,49,LAGUNAS CONTINENTALES,"331",Lagos y lagunas,12,,,Lagos y lagunas,Zonas humedas,3,1,Laguna de la Gravera,IHA611002,2.250113,1.308208,0.941905
1226895,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945,Suelo desnudo,945,Suelo desnudo,47,Zonas sin vegetaciÃ³n,4,Forestal,4,IHA611004,80,ROQUEDOS Y SUELO DESNUDO,"932",Suelo desnudo,23,,,Areas con fuertes procesos erosivos,Cobertura vegetal y suelos,5,1,Laguna de la Gravera,IHA611002,4.439372,0.000000,4.439372
974434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,345,Balsa de riego o ganadera,3020,Zonas hÃºmedas artificiales,51,Zonas hÃºmedas,5,Zonas hÃºmedas,4,IHA611004,51,BALSAS DE RIEGO Y GANADERAS,"345",Balsa de riego o ganadera,13,,,Masas de agua artificial,Zonas humedas,3,4,Laguna de la Gravera,IHA611002,3.104644,0.000000,3.104644
968708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,15,65,0,142,Campos de golf,3004,"Ocio, cultural y deportivo",11,Urbano mixto,1,Artificial,4,IHA611004,30,ZONAS VERDES Y ESPACIOS DE OCIO,"193",Campos de golf,6,,,Zonas verdes y espacios de ocio,Urbano e infraestructuras,1,3,Laguna de la Gravera,IHA611002,37.175185,0.000000,37.175185
1242585,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,997,Otros cultivos leÃ±osos,3011,Frutales no cÃ­tricos,23,Cultivos leÃ±osos,2,AgrÃ­cola,4,IHA611004,58,OTROS CULTIVOS LEÑOSOS EN REGADIO,"997",Otros cultivos leñosos,15,,,Leñoso regadio,Agrario,4,3,Salinas de Cerrillos,IHA611004,0.257583,0.000000,0.257583
1226889,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945,Suelo desnudo,945,Suelo desnudo,47,Zonas sin vegetaciÃ³n,4,Forestal,4,IHA611004,80,ROQUEDOS Y SUELO DESNUDO,"932",Suelo desnudo,23,,,Areas con fuertes procesos erosivos,Cobertura vegetal y suelos,5,1,Salinas de Cerrillos,IHA611004,20.305470,0.000000,20.305470
968731,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,142,Campos de golf,3004,"Ocio, cultural y deportivo",11,Urbano mixto,1,Artificial,4,IHA611004,30,ZONAS VERDES Y ESPACIOS DE OCIO,"193",Campos de golf,6,,,Zonas verdes y espacios de ocio,Urbano e infraestructuras,1,3,Salinas de Cerrillos,IHA611004,2.008560,0.056190,1.952370
973554,0,10,0,30,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,221,Salinas tradicionales,3020,Zonas hÃºmedas artificiales,51,Zonas hÃºmedas,5,Zonas hÃºmedas,4,IHA611004,39,SALINAS,"221",Salinas tradicionales,8,,,Salinas,Zonas humedas,3,1,Salinas de Cerrillos,IHA611004,719.000050,452.108724,266.891326
1270840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0,2000,Ensanche,11,Urbano mixto,11,Urbano mixto,1,Artificial,4,IHA611004,7,TEJIDO URBANO,"439",Ensanche,1,,,Tejido urbano,Urbano e infraestructuras,1,5,Salinas de Cerrillos,IHA611004,7.741772,0.478964,7.262808
1287676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,131,Red viaria,3005,Redes viarias y ferroviarias,15,Infraestructuras de transporte,1,Artificial,4,IHA611004,15,INFRAESTRUCTURAS DE COMUNICACIONES,"131",Red viaria,3,,,Infraestructuras de comunicaciones,Urbano e infraestructuras,1,5,Salinas de Cerrillos,IHA611004,4.926073,0.000000,4.926073
970010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,5,75,151,Zonas mineras,151,Zonas mineras,14,ExtracciÃ³n minera,1,Artificial,4,IHA611004,23,ZONAS MINERAS,"151",Zonas mineras,5,,,"Zonas mineras, escombreras o de vertido",Urbano e infraestructuras,1,5,Salinas de Cerrillos,IHA611004,1.139168,0.000000,1.139168
998592,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,405,Cultivo herbÃ¡ceo distinto de arroz,21,Cultivos herbÃ¡ceos,21,Cultivos herbÃ¡ceos,2,AgrÃ­cola,4,IHA611004,52,AREAS AGRICOLAS HOMOGENEAS,"-",Cultivo herbaceo distinto de arroz,18,Herbaceo regadio,18,Cultivos herbaceos,Agrario,4,3,Salinas de Cerrillos,IHA611004,1.494807,0.000000,1.494807
956602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sin asignaciÃ³n,0,Sin asignaciÃ³n,0,Sin asignaciÃ³n,0,Sin asignaciÃ³n,4,IHA611004,1,SIN ASIGNACIoN,"0",Sin asignacion,0,,,Sin asignacion,Urbano e infraestructuras,1,5,Salinas de Cerrillos,IHA611004,0.102366,0.000000,0.102366
